playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
31,(F) Planet 9,Adam Port,6,Adam Port Planet 9 (F),6,6511,N,,Y
32,Working For It,"Adam Port, Jennifer Touch",1,Working For It Adam Port,6,2804,Y,1,N
32,Working For It,"Adam Port, Jennifer Touch",2,Adam Port Working For It,6,3926,N,,Y
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",1,(F) Faithful (Musumeci Sanctus remix) Musumeci Sanctus remix,28,9050,Y,4,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",2,Musumeci Sanctus remix (F) Faithful (Musumeci Sanctus remix),172,13558,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",3,(F) Faithful (Musumeci Sanctus remix) Musumeci Sanctus remix original mix,15,8809,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",4,Musumeci Sanctus remix original mix (F) Faithful (Musumeci Sanctus remix),123,9877,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",5,(F) Faithful (Musumeci Sanctus remix) Musumeci Sanctus extended remix,0,3235,N,,Y
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,1,Mujer (Anja Schneider Remix) Anja Schneider remix,6,2124,Y,3,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,2,Anja Schneider remix Mujer (Anja Schneider Remix),6,2718,N,,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,3,Mujer (Anja Schneider Remix) Anja Schneider remix original mix,6,4370,N,,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,4,Anja Schneider remix original mix Mujer (Anja Schneider Remix),6,2537,N,,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,5,Mujer (Anja Schneider Remix) Anja Schneider extended remix,0,3211,N,,Y
35,Cover Me (Dixon),Depeche Mode,1,Cover Me (Dixon) Depeche Mode,6,2256,Y,1,N
35,Cover Me (Dixon),Depeche Mode,2,Depeche Mode Cover Me (Dixon),15,15393,N,,N
35,Cover Me (Dixon),Depeche Mode,3,Cover Me Depeche Mode,0,3590,N,,N
35,Cover Me (Dixon),Depeche Mode,4,Depeche Mode Cover Me,16,11028,N,,Y
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,1,[2] Izolo (Lost Desert & Lee Burridge Remix) Lost Desert remix,60,12273,Y,1,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,2,Lost Desert remix [2] Izolo (Lost Desert & Lee Burridge Remix),60,11850,N,,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,3,[2] Izolo (Lost Desert & Lee Burridge Remix) Lost Desert remix original mix,55,8996,N,,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,4,Lost Desert remix original mix [2] Izolo (Lost Desert & Lee Burridge Remix),6,2393,N,,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,5,[2] Izolo (Lost Desert & Lee Burridge Remix) Lost Desert extended remix,0,2668,N,,Y
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,1,[2] Emowe (Sasson (FR) Remix) Notre Dame,0,2206,N,,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,2,Notre Dame [2] Emowe (Sasson (FR) Remix),112,16628,Y,2,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,3,[2] Emowe (Sasson (FR) Remix) Sasson,122,11229,N,,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,4,Sasson [2] Emowe (Sasson (FR) Remix),112,26097,N,,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,5,[2] Emowe (Sasson (FR) Remix) Notre Dame Sasson,50,16096,N,,Y
38,[2] Bumblebee,Fka Mash & Sió,1,[2] Bumblebee Fka Mash,15,13195,Y,1,N
38,[2] Bumblebee,Fka Mash & Sió,2,Fka Mash [2] Bumblebee,179,17214,N,,Y
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",1,[2-3] The Rhythm (Alex Twin Remix) Alex Twin remix,26,18004,Y,2,N
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",2,Alex Twin remix [2-3] The Rhythm (Alex Twin Remix),25,18186,N,,N
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",3,[2-3] The Rhythm (Alex Twin Remix) Alex Twin remix original mix,34,16458,N,,N
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",4,Alex Twin remix original mix [2-3] The Rhythm (Alex Twin Remix),33,22107,N,,N
