playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,3,Seeds Of Brooklyn (&ME Remix) &ME remix,6,6505,N,,N
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,4,&ME remix Seeds Of Brooklyn (&ME Remix),62,15974,N,,N
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,5,Seeds Of Brooklyn ME remix,6,7069,N,,Y
28,Burn For You ,TWIINS (GR),1,Burn For You TWIINS (GR),6,6563,Y,1,N
28,Burn For You ,TWIINS (GR),2,TWIINS (GR) Burn For You,79,19552,N,,Y
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",1,Special DJ Yellow,6,17980,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",2,DJ Yellow Special,6,9287,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",3,Special Tracey K,6,16051,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",4,Tracey K Special,6,8329,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",5,Special Tiago Fragateiro,6,7972,Y,1,Y
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",1,(F) Can't Get You Out Of My Head Desire,16,20230,Y,15,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",2,Desire (F) Can't Get You Out Of My Head,35,33453,N,,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",3,(F) Can't Get You Out Of My Head Guy Gerber,16,20853,N,,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",4,Guy Gerber (F) Can't Get You Out Of My Head,6,6661,N,,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",5,(F) Can't Get You Out Of My Head Desire Guy Gerber,152,15061,N,,Y
31,(F) Planet 9,Adam Port,1,(F) Planet 9 Adam Port,248,26192,Y,16,N
31,(F) Planet 9,Adam Port,2,Adam Port (F) Planet 9,6,6194,N,,N
31,(F) Planet 9,Adam Port,3,Planet 9 Adam Port,161,22517,N,,N
31,(F) Planet 9,Adam Port,4,Adam Port Planet 9,6,8258,N,,N
31,(F) Planet 9,Adam Port,5,Planet 9 (F) Adam Port,160,18247,N,,N
31,(F) Planet 9,Adam Port,6,Adam Port Planet 9 (F),6,7357,N,,Y
32,Working For It,"Adam Port, Jennifer Touch",1,Working For It Adam Port,6,6889,Y,2,N
32,Working For It,"Adam Port, Jennifer Touch",2,Adam Port Working For It,6,8166,N,,Y
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",1,(F) Faithful (Musumeci Sanctus remix) Musumeci Sanctus remix,28,20205,Y,3,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",2,Musumeci Sanctus remix (F) Faithful (Musumeci Sanctus remix),172,19580,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",3,Faithful Musumeci Sanctus remix,6,6047,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",4,Musumeci Sanctus remix Faithful,15,16275,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",5,Faithful (Musumeci Sanctus remix) Musumeci Sanctus remix,6,6026,N,,Y
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,1,Mujer (Anja Schneider Remix) Anja Schneider remix,6,6294,Y,2,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,2,Anja Schneider remix Mujer (Anja Schneider Remix),6,6680,N,,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,3,Mujer Anja Schneider remix,6,6251,N,,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,4,Anja Schneider remix Mujer,16,18155,N,,N
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,5,Mujer (Anja Schneider Remix) (Anja Schneider Remix) Anja Schneider remix,6,6051,N,,Y
35,Cover Me (Dixon),Depeche Mode,1,Cover Me (Dixon) Depeche Mode,6,6878,Y,1,N
35,Cover Me (Dixon),Depeche Mode,2,Depeche Mode Cover Me (Dixon),15,22596,N,,N
35,Cover Me (Dixon),Depeche Mode,3,Cover Me Depeche Mode,39,23987,N,,N
35,Cover Me (Dixon),Depeche Mode,4,Depeche Mode Cover Me,16,17895,N,,Y
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,1,[2] Izolo (Lost Desert & Lee Burridge Remix) Lost Desert remix,44,19256,Y,1,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,2,Lost Desert remix [2] Izolo (Lost Desert & Lee Burridge Remix),60,19017,N,,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,3,[2] Izolo (Lost Desert & Lee Burridge Remix) Lee Burridge remix,55,20050,N,,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,4,Lee Burridge remix [2] Izolo (Lost Desert & Lee Burridge Remix),60,16232,N,,N
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,5,[2] Izolo (Lost Desert & Lee Burridge Remix) & Lee Burridge remix,60,15813,N,,Y
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,1,[2] Emowe (Sasson (FR) Remix) Notre Dame,40,17715,Y,2,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,2,Notre Dame [2] Emowe (Sasson (FR) Remix),102,21879,N,,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,3,[2] Emowe (Sasson (FR) Remix) Sasson,122,23391,N,,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,4,Sasson [2] Emowe (Sasson (FR) Remix),113,15478,N,,N
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,5,[2] Emowe (Sasson (FR) Remix) Notre Dame Sasson,50,21027,N,,Y
38,[2] Bumblebee,Fka Mash & Sió,1,[2] Bumblebee Fka Mash,15,22630,Y,2,N
38,[2] Bumblebee,Fka Mash & Sió,2,Fka Mash [2] Bumblebee,179,28210,N,,Y
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",1,[2-3] The Rhythm (Alex Twin Remix) Alex Twin remix,24,19588,Y,2,N
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",2,Alex Twin remix [2-3] The Rhythm (Alex Twin Remix),24,18864,N,,N
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",3,The Rhythm Alex Twin remix,6,6188,N,,N
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",4,Alex Twin remix The Rhythm,18,17753,N,,N
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",5,The Rhythm (Alex Twin Remix) Alex Twin remix,6,6670,N,,Y
40,[3-4] Ay como hago (Aura & Sebastian Rivero Remix),"Emanuele Esposito, Gianni Romano",1,[3-4] Ay como hago (Aura & Sebastian Rivero Remix) Aura remix,70,18585,Y,2,N
40,[3-4] Ay como hago (Aura & Sebastian Rivero Remix),"Emanuele Esposito, Gianni Romano",2,Aura remix [3-4] Ay como hago (Aura & Sebastian Rivero Remix),70,17230,N,,N
40,[3-4] Ay como hago (Aura & Sebastian Rivero Remix),"Emanuele Esposito, Gianni Romano",3,[3-4] Ay como hago (Aura & Sebastian Rivero Remix) Sebastian Rivero remix,64,18066,N,,N
40,[3-4] Ay como hago (Aura & Sebastian Rivero Remix),"Emanuele Esposito, Gianni Romano",4,Sebastian Rivero remix [3-4] Ay como hago (Aura & Sebastian Rivero Remix),55,18553,N,,N
40,[3-4] Ay como hago (Aura & Sebastian Rivero Remix),"Emanuele Esposito, Gianni Romano",5,[3-4] Ay como hago (Aura & Sebastian Rivero Remix) & Sebastian Rivero remix,55,15514,N,,Y
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,1,[3] Rainforest Walk (Original Mix) [3] Obbie,166,23428,Y,1,N
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,2,Obbie [3] Rainforest Walk (Original Mix) [3],166,19353,N,,N
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,3,Rainforest Walk Obbie,6,15888,N,,N
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,4,Obbie Rainforest Walk,6,18582,N,,N
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,5,Rainforest Walk (Original Mix) [3] Obbie,6,6619,N,,N
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,6,Obbie Rainforest Walk (Original Mix) [3],41,16317,N,,N
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,7,[3] Rainforest Walk (Original Mix) [3] (Original Mix) Obbie,41,15625,N,,N
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,8,Obbie [3] Rainforest Walk (Original Mix) [3] (Original Mix),114,17734,N,,Y
42,[2] Dat Guitar (Original Mix),Caiiro,1,[2] Dat Guitar (Original Mix) Caiiro,194,26820,Y,1,N
42,[2] Dat Guitar (Original Mix),Caiiro,2,Caiiro [2] Dat Guitar (Original Mix),197,20118,N,,N
42,[2] Dat Guitar (Original Mix),Caiiro,3,Dat Guitar Caiiro,6,8002,N,,N
42,[2] Dat Guitar (Original Mix),Caiiro,4,Caiiro Dat Guitar,168,19968,N,,N
